Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Mapping type,Mapped identifier,Mapped label,Mapped type
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,335,Funeral records,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,712,Furnished tenancies,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1134,Gambling premises licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,115,Garage lettings,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1796,Gas safety inspection,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1595,Gas safety registration,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1592,Gas transport safety case notification,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1596,Genetically modified organisms work notification,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1155,Gifted and talented awards,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,584,Graffiti removal,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1289,Graphic design,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,589,Grass cutting,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,333,Grave purchasing,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1357,Greyhound racing track licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,635,Hackney carriage (taxi) drivers licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,632,Hackney carriage (taxi) licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1133,Hate crime,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,850,Hazardous waste collection,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1507,Head lice,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,422,Health and safety training,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1747,Health checks,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1122,High hedges,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,744,Highway projection licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1353,Home childcarer registration,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1602,Home fire safety equipment,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,858,Home improvement loans,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,158,Home purchase grants,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,433,Home renovation grants,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,136,Home repair assistance grant,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1,Home schooling,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,898,Homes in multiple occupancy licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,648,House to house collection licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,530,Household garden waste,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1473,Household waste accumulation,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,854,Household waste assisted collection,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,524,Household waste collection,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,526,Household waste containers,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1470,Household waste enforcement,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,716,Houses in multiple occupation register,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,150,Houses in multiple occupation safety inspection,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,90,Housing - allocations  - re-housing decision appeal,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,156,Housing - council - services and communal repairs,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,138,Housing - improvements - housing renovation grant for a private property,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,103,Housing - sheltered - homeless people,Service
